wasp.var,peak.resistant,peak.susceptible,peak.wasps,trough.resistant,trough.susceptible,trough.wasps,peak.resistant.int,peak.susceptible.int,peak.wasps.int,trough.resistant.int,trough.susceptible.int,trough.wasps.int,index
0,0,2163.302239405249,0,0,22.828707230639147,0,0,2163.302239405249,0,0,1532.6919209974246,0,1
0.1,0,2163.302239405249,0,0,22.828707230639147,0,0,2163.302239405249,0,0,1532.6919209974246,0,1
0.2,0,2163.302239405249,0,0,22.828707230639147,0,0,2163.302239405249,0,0,1532.6919209974246,0,1
0.30000000000000004,0,2163.302239405249,0,0,22.828707230639147,0,0,2163.302239405249,0,0,1532.6919209974246,0,1
0.4,0,2163.302239405249,0,0,22.828707230639147,0,0,2163.302239405249,0,0,1532.6919209974246,0,1
0.5,0,2163.302239405249,0,0,22.828707230639147,0,0,2163.302239405249,0,0,1532.6919209974246,0,1
0.6000000000000001,0,2163.302239405249,0,0,22.828707230639147,0,0,2163.302239405249,0,0,1532.6919209974246,0,1
0.7000000000000001,918.2970342437615,1656.1271868598383,12.449475572125284,0.44290343477464666,0.08189606020148354,2.0448859021305113e-5,918.2970342437615,1656.1271868598383,11.732434258426869,26.946174335015048,3.9656834616836285,1.2826538203678477e-4,1
0.8,990.0832823898262,803.628779547299,4.491577937058814,2.554333477263679,1.2860642410877254,0.001993556469150124,990.0832823898262,803.628779547299,4.446422294926776,122.29907592708727,43.66655506848648,0.014466731294288705,1
0.9,1009.5211442510596,900.1134253187964,3.7071065986903093,2.558428835393118,0.7982328919254864,0.0022774109791445034,1009.5211442510596,900.1134253187964,3.620009355691727,104.2069254960581,32.59824359944547,0.022617217293819564,1
1,971.4735711079327,877.7697605228059,6.010214621963096,1.9468370041380123,0.7006710457447186,0.00214441293728936,971.4735711079327,877.7697605228059,5.866458233708704,97.04914265513202,30.44164504788747,0.016602241261904304,1
1.1,965.4917723739327,899.809914867865,6.743048695958734,2.034922663512571,0.6386150699529225,0.0017322505249575937,965.4917723739327,899.809914867865,6.584425388228672,96.43310467430713,26.4222186656934,0.014417747972815947,1
1.2000000000000002,941.059470338038,968.7678534146304,7.022868109562994,1.695440494396381,0.5468538891595527,0.0014225670957782673,941.059470338038,968.7678534146304,6.856321806742426,95.00860166057015,24.546351454415408,0.011423749172305629,1
1.3,925.1198170308296,1012.2217827331799,8.248945466150099,1.5234834494033667,0.47136361581836,0.001161767766968145,925.1198170308296,1012.2217827331799,8.089838329148877,92.68605157373077,22.721239310825897,0.009360177659304084,1
1.4000000000000001,1010.0639796360315,1081.0580044735657,9.886179670303317,0.9089220100134906,0.22730502811374237,0.0010388395359678933,1010.0639796360315,1081.0580044735657,9.704134896584417,58.70706489487163,14.996975243428542,0.00819716494940894,1
1.5,1022.8948113984194,1146.5524325652384,10.883410025537245,0.8810000722788888,0.27218738637598977,6.988607599399156e-4,1022.8948113984194,1146.5524325652384,10.729891919355687,56.798111127445964,12.936782752441314,0.005023486904531738,1
1.6,1018.4943800992412,1094.4182041810857,10.504522792830855,0.8737932081662045,0.16845321898264423,5.695344406910304e-4,1018.4943800992412,1094.4182041810857,10.393483524337574,56.125161889609586,16.46203609031724,0.00271154016684463,1
1.7000000000000002,880.7811580596017,1268.6635971705903,8.351678018749439,0.641957182250917,0.2639841258478533,2.940513283500187e-4,880.7811580596017,1268.6635971705903,8.2531689157348,49.54101843766987,10.492975559157253,0.00108076296082059,1
1.8,999.9546339842167,1359.538759228349,9.63416502498114,0.8902854715241697,0.2375122205324247,2.318685086190216e-4,999.9546339842167,1359.538759228349,9.57793113589388,58.58817109240857,10.109600461509306,0.0012077018521308963,1
1.9000000000000001,1033.2128096505905,1429.3612167922436,7.023201727091193,0.9584429274746236,0.13019792068151953,1.784442750745643e-4,1033.2128096505905,1429.3612167922436,6.885744123039336,48.43503080420258,11.91794737064578,0.0010458694970496665,1
2,884.6367941153449,1248.4937583169149,10.56873759237911,0.7397934519939511,0.1860809673626406,1.36832843554102e-4,884.6367941153449,1248.4937583169149,10.521972163086035,49.037865560840785,10.026642226663796,5.311265868852349e-4,1
0,0,2171.8156265215603,0,0,22.197508441729106,0,0,874.025569403585,0,0,293.64386710132953,0,2
0.1,0,2171.8156265215603,0,0,22.197508441729106,0,0,874.025569403585,0,0,293.64386710132953,0,2
0.2,0,2171.8156265215603,0,0,22.197508441729106,0,0,874.025569403585,0,0,293.64386710132953,0,2
0.30000000000000004,0,2171.8156265215603,0,0,22.197508441729106,0,0,874.025569403585,0,0,293.64386710132953,0,2
0.4,0,2171.8156265215603,0,0,22.197508441729106,0,0,874.025569403585,0,0,293.64386710132953,0,2
0.5,0,2171.8156265215603,0,0,22.197508441729106,0,0,874.025569403585,0,0,293.64386710132953,0,2
0.6000000000000001,0,2171.8156265215603,0,0,22.197508441729106,0,0,874.025569403585,0,0,293.64386710132953,0,2
0.7000000000000001,1125.241721187091,1239.1593124383364,10.186934285539905,0.9210106729732135,0.1361125810832318,3.0644191608204346e-5,323.04661757875516,371.94138495951745,1.9750177683703956,7.56297193805492,0.4058671110548099,8.907305891697291e-5,2
0.8,1126.7496558160954,750.7682105879371,2.90764420369145,3.349805934337035,0.9606546742116427,0.0030563750856389023,340.8235587892007,198.8262450359704,1.2043749336754241,24.489817192943036,5.164529122638568,0.010821590330719772,2
0.9,1118.1329513259095,469.1332266379517,2.5742841375552037,3.546805708589242,1.061148523547428,0.009116567042792024,329.66488205017345,122.88944531239943,0.6487627463955628,28.69652183720823,10.63180622135225,0.02348689819675029,2
