wasp.var,peak.resistant,peak.susceptible,peak.wasps,trough.resistant,trough.susceptible,trough.wasps,peak.resistant.int,peak.susceptible.int,peak.wasps.int,trough.resistant.int,trough.susceptible.int,trough.wasps.int,index
0,0,2163.302239405249,0,0,22.828707230639147,0,0,2163.302239405249,0,0,1532.6919209974246,0,1
0.1,0,2163.302239405249,0,0,22.828707230639147,0,0,2163.302239405249,0,0,1532.6919209974246,0,1
0.2,0,2163.302239405249,0,0,22.828707230639147,0,0,2163.302239405249,0,0,1532.6919209974246,0,1
0.30000000000000004,0,2163.302239405249,0,0,22.828707230639147,0,0,2163.302239405249,0,0,1532.6919209974246,0,1
0.4,0,2163.302239405249,0,0,22.828707230639147,0,0,2163.302239405249,0,0,1532.6919209974246,0,1
0.5,0,2163.302239405249,0,0,22.828707230639147,0,0,2163.302239405249,0,0,1532.6919209974246,0,1
0.6000000000000001,0,2163.302239405249,0,0,22.828707230639147,0,0,2163.302239405249,0,0,1532.6919209974246,0,1
0.7000000000000001,0,2163.302239405249,0,0,22.828707230639147,0,0,2163.302239405249,0,0,1532.6919209974246,0,1
0.8,0,2163.302239405249,0,0,22.828707230639147,0,0,2163.302239405249,0,0,1532.6919209974246,0,1
0.9,0,2163.302239405249,0,0,22.828707230639147,0,0,2163.302239405249,0,0,1532.6919209974246,0,1
1,0,2163.302239405249,0,0,22.828707230639147,0,0,2163.302239405249,0,0,1532.6919209974246,0,1
1.1,257.8863873899276,2103.7038961419717,10.369142789437202,0.09266553356211947,0.04252470513337366,2.207864052614768e-9,257.8863873899276,2103.7038961419717,10.369142789437202,2.5567319553737287,3.450645504889405,3.8832091800482305e-8,1
1.2000000000000002,160.67413363193543,2079.0592662407716,7.884475444153269,0.15669571414253347,0.37010254410988314,6.216216615142093e-7,160.67413363193543,2079.0592662407716,7.884475444153269,8.180120997079218,26.92682133901977,9.131273057474473e-6,1
1.3,257.22760478670494,1980.0015745274013,7.23639994442158,0.19901549406228242,0.8887263596311532,3.2326932057346166e-6,257.22760478670494,1980.0015745274013,6.726088267449347,7.606491469421008,39.02152099025705,1.2976718413236895e-4,1
1.4000000000000001,265.2641717086365,1945.869848074832,7.521450902128777,0.19857852427446168,0.7830873980811414,1.177747059427092e-5,265.2641717086365,1945.869848074832,7.521450902128777,10.359646499214824,33.93330002762057,6.846351791071723e-4,1
1.5,257.26684788407584,1931.1224277130702,6.951961176042346,0.3922247405772848,1.8128271839253438,2.5639889771526385e-5,257.26684788407584,1931.1224277130702,6.066897768939084,15.150917545827706,87.52152443285212,0.0029533400509928467,1
1.6,282.6268756332494,1892.0697639722807,6.416610798810453,0.22508332375789533,1.5726455647399966,7.508240885670603e-5,282.6268756332494,1892.0697639722807,4.860643727001824,11.882912211390941,93.49086560925932,0.0022318310448528897,1
1.7000000000000002,320.509903867064,1734.5181105934164,6.952058877371774,0.29530428335996634,1.3550755090741533,1.799516808401246e-4,320.509903867064,1734.5181105934164,5.064114500269496,19.14283350402021,119.14984677315185,0.0048179084094246045,1
1.8,368.33831366545076,1532.384519232292,5.602172537961792,0.6117339911736226,2.9695643674375356,9.965137311037343e-4,368.33831366545076,1532.384519232292,3.2221701862473187,27.168371310527615,221.4864638100374,0.02529537147297522,1
1.9000000000000001,347.06379093628823,1594.6574531860495,4.88068233977215,0.5558654911225288,2.986274620546039,0.0011100684041494958,347.06379093628823,1594.6574531860495,3.017549387414845,32.569317514478996,137.18258902811903,0.04705895108444424,1
2,354.10343628279134,1397.1582977116705,5.104983763867077,0.6690660205078504,4.0058542367893955,0.0016341854235526888,354.10343628279134,1397.1582977116705,2.4156451838916717,32.820911435587895,276.5799575900424,0.08336015245446368,1
0,0,2171.8156265215603,0,0,22.197508441729106,0,0,874.025569403585,0,0,293.64386710132953,0,2
0.1,0,2171.8156265215603,0,0,22.197508441729106,0,0,874.025569403585,0,0,293.64386710132953,0,2
0.2,0,2171.8156265215603,0,0,22.197508441729106,0,0,874.025569403585,0,0,293.64386710132953,0,2
0.30000000000000004,0,2171.8156265215603,0,0,22.197508441729106,0,0,874.025569403585,0,0,293.64386710132953,0,2
0.4,0,2171.8156265215603,0,0,22.197508441729106,0,0,874.025569403585,0,0,293.64386710132953,0,2
0.5,0,2171.8156265215603,0,0,22.197508441729106,0,0,874.025569403585,0,0,293.64386710132953,0,2
0.6000000000000001,0,2171.8156265215603,0,0,22.197508441729106,0,0,874.025569403585,0,0,293.64386710132953,0,2
0.7000000000000001,0,2171.8156265215603,0,0,22.197508441729106,0,0,874.025569403585,0,0,293.64386710132953,0,2
0.8,0,2171.8156265215603,0,0,22.197508441729106,0,0,874.025569403585,0,0,293.64386710132953,0,2
0.9,0,2171.8156265215603,0,0,22.197508441729106,0,0,874.025569403585,0,0,293.64386710132953,0,2
1,0,2171.8156265215603,0,0,22.197508441729106,0,0,874.025569403585,0,0,293.64386710132953,0,2
1.1,1128.0023860880092,1703.248307733771,7.9763647355057214,0.3017692443055374,0.0017409956251616002,2.6104523882634872e-9,367.5405265601931,469.8679143212382,3.0963424881075596,2.6204883219349426,0.023742064591314907,8.299212838537121e-9,2
1.2000000000000002,1171.8382346672104,1527.5479634881679,8.215705017072594,0.9219586480620227,0.013105236191457252,2.384358753947208e-6,340.57754877316586,453.74734212031785,1.9309816033849962,5.665634907309704,0.15121564838362261,5.0480920266659675e-6,2
