"disp","delta","peak.resistant","peak.susceptible","peak.wasps","trough.resistant","trough.susceptible","trough.wasps","prop.delta","converge","peak.prop","trough.prop","eig"
1e-04,0.00673794699908547,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,0.00865169520312063,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,0.0111089965382423,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,0.0142642339089993,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,0.0183156388887342,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,0.0235177458560091,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,0.0301973834223185,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,0.038774207831722,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,0.0497870683678639,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,0.0639278612067076,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,0.0820849986238988,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,0.105399224561864,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,0.135335283236613,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,0.173773943450445,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,0.22313016014843,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,0.28650479686019,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,0.367879441171442,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,0.472366552741015,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,0.606530659712633,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,0.778800783071405,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,1,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,1.28402541668774,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,1.64872127070013,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,2.11700001661267,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,2.71828182845905,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,3.49034295746184,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,4.48168907033806,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,5.75460267600573,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,7.38905609893065,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,9.48773583635853,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,12.1824939607035,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,15.6426318841882,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,20.0855369231877,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,25.7903399171931,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,33.1154519586923,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,42.5210820000628,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,54.5981500331442,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,70.1054123466879,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,90.0171313005218,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,115.584284527188,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
1e-04,148.413159102577,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393862486+0.232179703653035i
2e-04,0.00673794699908547,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,0.00865169520312063,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,0.0111089965382423,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,0.0142642339089993,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,0.0183156388887342,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,0.0235177458560091,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,0.0301973834223185,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,0.038774207831722,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,0.0497870683678639,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,0.0639278612067076,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,0.0820849986238988,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,0.105399224561864,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,0.135335283236613,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,0.173773943450445,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,0.22313016014843,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,0.28650479686019,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,0.367879441171442,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,0.472366552741015,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,0.606530659712633,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,0.778800783071405,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,1,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,1.28402541668774,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,1.64872127070013,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,2.11700001661267,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,2.71828182845905,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,3.49034295746184,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,4.48168907033806,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,5.75460267600573,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,7.38905609893065,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,9.48773583635853,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,12.1824939607035,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,15.6426318841882,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,20.0855369231877,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,25.7903399171931,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,33.1154519586923,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,42.5210820000628,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,54.5981500331442,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,70.1054123466879,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,90.0171313005218,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,115.584284527188,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
2e-04,148.413159102577,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.915531393767944+0.232179703720647i
3e-04,0.00673794699908547,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.9155313938621+0.232179703624574i
3e-04,0.00865169520312063,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.9155313938621+0.232179703624574i
3e-04,0.0111089965382423,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.9155313938621+0.232179703624574i
3e-04,0.0142642339089993,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.9155313938621+0.232179703624574i
3e-04,0.0183156388887342,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.9155313938621+0.232179703624574i
3e-04,0.0235177458560091,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.9155313938621+0.232179703624574i
3e-04,0.0301973834223185,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.9155313938621+0.232179703624574i
3e-04,0.038774207831722,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.9155313938621+0.232179703624574i
3e-04,0.0497870683678639,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.9155313938621+0.232179703624574i
3e-04,0.0639278612067076,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.9155313938621+0.232179703624574i
3e-04,0.0820849986238988,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.9155313938621+0.232179703624574i
3e-04,0.105399224561864,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.9155313938621+0.232179703624574i
3e-04,0.135335283236613,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.9155313938621+0.232179703624574i
3e-04,0.173773943450445,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.9155313938621+0.232179703624574i
3e-04,0.22313016014843,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.9155313938621+0.232179703624574i
3e-04,0.28650479686019,0,4807.95405442682,0,0,4807.95405442682,0,0,FALSE,0,0,0.9155313938621+0.232179703624574i
