Field,Date,Initials,Cycle,DISS_Initials,DISS_G_Unpara,DISS_G_Para,DISS_G_fungus,DISS_G_p+f,DISS_R_Unpara,DISS_R_Para,DISS_R_Fungus,DISS_R_p+f
349,18-May-18,LG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,18-May-18,ML,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,18-May-18,LG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,18-May-18,ML,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,18-May-18,LG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,18-May-18,ML,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,18-May-18,LG,1,ML,20,0,0,0,1,0,0,0
246,18-May-18,ML,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,18-May-18,LG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,18-May-18,ML,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,18-May-18,LG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,18-May-18,ML,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,18-May-18,LG,1,LG,10,0,0,0,2,0,0,0
219,18-May-18,ML,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,18-May-18,LG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,18-May-18,ML,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,18-May-18,LG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,18-May-18,ML,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,18-May-18,LG,1,LG,12,0,0,0,8,0,0,0
310,18-May-18,ML,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,18-May-18,LG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,18-May-18,ML,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,18-May-18,LG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,18-May-18,ML,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,24-May-18,IC,1,IC,42,3,0,0,14,1,0,0
349,24-May-18,LG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,24-May-18,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,24-May-18,IC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,24-May-18,LG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,24-May-18,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,24-May-18,MB,1,LG,92,3,1,0,13,0,0,0
246,24-May-18,LG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,24-May-18,ML,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,24-May-18,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,24-May-18,LG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,24-May-18,ML,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,24-May-18,IC,1,ML,91,3,0,0,10,0,0,0
219,24-May-18,LG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,24-May-18,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,24-May-18,IC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,24-May-18,LG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,24-May-18,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,24-May-18,IC,1,ML,72,0,0,0,28,1,0,0
310,24-May-18,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,24-May-18,ML,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,24-May-18,IC,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,24-May-18,MB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,24-May-18,ML,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,4-Jun-18,ML,2,IC,17,0,0,0,8,0,0,0
349,4-Jun-18,LG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,4-Jun-18,IC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,4-Jun-18,IC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,4-Jun-18,ML,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,4-Jun-18,LG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,4-Jun-18,ML,2,LG,42,0,0,0,8,0,0,0
246,4-Jun-18,LG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,4-Jun-18,IC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,4-Jun-18,ML,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,4-Jun-18,LG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,4-Jun-18,IC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,4-Jun-18,ML,2,LG,10,0,0,0,2,0,0,0
219,4-Jun-18,LG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,4-Jun-18,IC,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,4-Jun-18,ML,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,4-Jun-18,LG,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
