treatment,rep,start_date,red_line,green_line,cage,date,observer,plant1_red,plant2_red,plant3_red,plant4_red,plant5_red,plant6_red,plant7_red,plant8_red,plant9_red,plant10_red,plant11_red,plant12_red,plant13_red,plant14_red,plant15_red,plant16_red,plant1_green,plant2_green,plant3_green,plant4_green,plant5_green,plant6_green,plant7_green,plant8_green,plant9_green,plant10_green,plant11_green,plant12_green,plant13_green,plant14_green,plant15_green,plant16_green,wasps,mummies,alates_total_red,alates_total_green,alates_in_red,alates_in_green,replaced_plants,wasps_rm,mumm_rm,notes
DISPERSAL,11,08/23/2021,WIA-5D,UT3,NO WASP,08/26/2021,KVB,0,0,0,0,0,0,0,0,0,1,0,0,1,0,13,8,0,0,0,0,0,0,0,2,10,0,0,0,0,16,2,0,0,0,0,0,0,0,,,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,WASP,08/30/2021,KVB,0,4,3,6,2,1,11,6,8,0,4,12,25,2,5,9,17,37,126,35,40,1,5,0,19,2,33,23,64,13,26,54,0,4,1,2,24,1,,,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,NO WASP,08/30/2021,KVB,64,272,117,161,36,145,355,174,64,120,10,14,9,383,294,142,4,10,2,14,5,4,13,1,3,10,3,1,4,10,11,15,0,0,47,3,0,1,"1,5,6,8,9,10,11,13",,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,WASP,08/30/2021,KVB,97,97,3,25,6,162,175,246,108,171,23,16,181,13,74,99,11,3,1,4,0,21,3,2,6,9,1,1,8,0,9,10,0,0,12,0,8,0,"3,4,12",,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,NO WASP,08/30/2021,KVB,18,159,52,2,29,77,39,219,285,57,276,64,105,108,349,34,1,4,5,0,1,5,10,17,9,3,15,4,3,5,8,0,0,0,17,0,6,0,"1,3,4,7,10,12,13,16",,,
ISOLATED,9,06/14/2021,WIA-5D,UT3,WASP,08/30/2021,KVB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,4,,,
ISOLATED,9,06/14/2021,WIA-5D,UT3,NO WASP,08/30/2021,KVB,66,23,46,86,132,39,144,430,354,334,65,16,170,65,166,40,2,0,0,1,4,0,6,14,2,13,14,0,10,8,11,1,0,0,,,,,"5,11",,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,WASP,08/30/2021,KVB,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,1,0,0,14,1,13,,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,NO WASP,08/30/2021,KVB,330,190,66,137,13,50,7,227,258,12,140,71,24,284,61,315,16,5,9,7,3,14,1,6,17,4,4,20,13,10,8,51,0,0,29,2,0,0,"5,7",,,
DISPERSAL,11,08/23/2021,WIA-5D,UT3,WASP,08/30/2021,KVB,1,46,30,31,8,21,2,16,1,0,25,9,1,0,23,0,2,5,13,10,3,13,0,18,0,0,5,3,5,3,35,1,3,0,1,0,0,0,,,,
DISPERSAL,11,08/23/2021,WIA-5D,UT3,NO WASP,08/30/2021,KVB,3,30,0,1,0,0,0,0,0,0,0,11,2,23,14,18,0,0,0,14,0,5,0,19,54,0,38,0,1,34,10,0,0,0,0,0,0,0,,,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,WASP,09/02/2021,KVB,8,3,0,1,0,14,13,12,38,2,3,12,38,7,1,10,126,58,51,26,3,40,21,2,39,6,4,63,158,0,21,100,0,1,2,1,19,0,"3,4",,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,NO WASP,09/02/2021,KVB,458,108,106,78,206,283,258,407,430,227,310,1,84,200,75,100,15,5,4,10,12,14,16,13,8,6,21,2,11,9,7,7,0,0,38,1,1,0,"3,5,6,11,12",,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,WASP,09/02/2021,KVB,221,60,324,129,13,89,295,77,52,194,11,182,155,64,126,216,12,1,6,5,2,6,6,0,6,1,1,8,2,3,7,5,0,0,68,6,12,1,"8,9",,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,NO WASP,09/02/2021,KVB,167,44,74,239,51,187,190,153,298,74,168,27,288,391,165,144,2,1,0,9,1,8,5,4,11,4,7,2,44,13,10,0,0,0,24,2,34,3,"2,5",,,
ISOLATED,9,06/14/2021,WIA-5D,UT3,WASP,09/02/2021,KVB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"5,16",,,
ISOLATED,9,06/14/2021,WIA-5D,UT3,NO WASP,09/02/2021,KVB,110,119,160,127,206,90,314,489,41,118,249,131,306,327,392,104,1,2,0,0,5,0,1,4,0,0,3,0,3,5,3,3,0,0,,,,,"5,9,10,13",,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,WASP,09/02/2021,KVB,0,0,0,0,0,0,0,22,8,0,0,4,11,0,0,2,2,0,0,0,0,0,0,0,1,0,0,14,0,0,0,1,0,2,0,0,5,0,2,,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,NO WASP,09/02/2021,KVB,383,65,28,259,301,192,199,26,154,60,79,10,3,57,204,59,10,1,3,4,14,2,4,6,4,9,7,3,1,2,17,6,0,0,10,3,0,0,"2,3,8,9,12,13,16",,,
DISPERSAL,11,08/23/2021,WIA-5D,UT3,WASP,09/02/2021,KVB,3,1,1,3,1,0,1,5,0,0,1,10,5,3,0,4,0,1,0,7,0,0,0,8,0,0,1,1,1,4,0,3,2,0,3,0,0,0,"6,9,10,15",,,
DISPERSAL,11,08/23/2021,WIA-5D,UT3,NO WASP,09/02/2021,KVB,9,48,0,1,11,1,0,0,0,1,3,22,11,29,17,16,0,0,0,16,4,12,11,22,52,10,33,0,5,23,14,5,0,0,1,0,0,1,"1,3,7,10",,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,WASP,09/06/2021,CES,0,2,3,5,14,13,19,8,11,3,55,7,47,20,8,7,24,70,64,66,121,87,149,101,82,71,112,96,218,31,47,33,1,0,2,1,15,1,"1,6,9,10,11",1,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,NO WASP,09/06/2021,CES,140,15,165,39,215,105,26,120,105,87,320,270,260,2,1,90,5,0,5,0,13,19,0,20,2,0,22,23,27,0,0,13,0,0,32,1,1,1,"1,4,6,8,9,10,13,15",,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,WASP,09/06/2021,CES,240,43,130,220,180,22,44,120,325,62,1,105,350,81,235,190,13,11,2,7,5,0,0,1,12,0,0,2,11,4,13,4,0,0,26,2,12,0,"3,4,6,8,10,11,12",,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,NO WASP,09/06/2021,CES,175,140,205,320,115,260,270,200,110,190,86,185,92,405,13,190,3,1,1,13,2,14,7,1,4,5,31,3,29,15,0,3,0,0,24,0,13,0,"5,15",,,
ISOLATED,9,06/14/2021,WIA-5D,UT3,WASP,09/06/2021,CES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
ISOLATED,9,06/14/2021,WIA-5D,UT3,NO WASP,09/06/2021,CES,190,280,220,9,43,92,360,22,580,420,195,180,510,185,160,300,2,2,1,0,1,0,7,0,4,2,0,3,2,0,0,4,0,,,,,,"4,8",,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,WASP,09/06/2021,CES,0,7,0,0,37,0,2,9,7,0,0,22,26,1,1,25,2,0,0,11,3,1,0,0,1,0,0,19,5,17,13,14,2,3,0,0,7,0,,2,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,NO WASP,09/06/2021,CES,210,300,315,7,60,170,130,200,275,110,43,88,320,2,180,220,23,17,11,0,44,4,11,2,12,9,12,0,19,1,15,17,0,0,13,0,0,0,"4,14",,,
DISPERSAL,11,08/23/2021,WIA-5D,UT3,WASP,09/06/2021,CES,3,2,5,11,4,2,0,16,0,0,18,2,7,14,42,2,0,0,0,20,0,1,0,14,0,0,1,0,3,10,12,1,2,0,5,0,1,1,,,,
DISPERSAL,11,08/23/2021,WIA-5D,UT3,NO WASP,09/06/2021,CES,32,53,7,18,34,6,11,7,0,3,16,44,20,30,4,24,16,0,8,20,8,14,3,38,64,4,36,2,43,20,39,25,0,,2,1,2,0,,,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,WASP,09/09/2021,CES,4,3,2,5,20,8,21,0,9,1,2,2,28,67,35,0,14,15,1,23,130,19,160,7,29,8,18,4,115,150,220,0,1,1,1,10,6,0,"2,3,12,16",,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,NO WASP,09/09/2021,CES,24,0,28,190,38,115,0,170,77,105,170,11,80,0,160,1,0,0,0,8,9,6,0,81,3,1,12,0,15,0,24,0,0,0,12,1,0,5,"2,7,8,14,16",,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,WASP,09/09/2021,CES,16,0,290,4,68,11,4,100,110,87,99,180,8,34,6,7,0,0,4,1,12,2,0,3,34,1,0,6,0,0,0,1,0,0,21,2,8,1,"2,7,13,14,15,16",,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,NO WASP,09/09/2021,CES,51,310,115,330,190,16,100,120,47,12,5,220,61,115,400,340,0,2,0,15,4,1,0,7,0,4,0,8,19,2,0,5,0,0,16,1,11,0,"1,6,9,10,11,13",,,
ISOLATED,9,06/14/2021,WIA-5D,UT3,WASP,09/09/2021,CES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
ISOLATED,9,06/14/2021,WIA-5D,UT3,NO WASP,09/09/2021,CES,19,300,285,270,330,36,49,44,465,170,11,3,410,18,32,165,0,3,3,0,1,0,0,3,4,2,0,0,2,0,3,4,0,0,,,,,"1,6,7,11,12,14,15",,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,WASP,09/09/2021,CES,0,3,15,3,2,0,0,1,0,1,1,1,6,0,1,11,0,6,7,0,4,0,0,1,0,1,0,2,56,1,2,1,3,1,0,0,7,1,,,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,NO WASP,09/09/2021,CES,1,37,82,320,24,6,10,295,51,30,1,340,67,40,72,260,0,4,8,19,13,1,2,5,1,0,2,7,3,12,4,22,0,0,15,1,0,0,"1,5,6,13",,,
DISPERSAL,11,08/23/2021,WIA-5D,UT3,WASP,09/09/2021,CES,8,0,7,13,23,22,1,18,1,6,21,0,27,38,61,9,4,0,4,46,4,12,13,34,0,18,43,3,24,26,44,5,1,4,0,0,3,0,"3,4,8,14",,,
DISPERSAL,11,08/23/2021,WIA-5D,UT3,NO WASP,09/09/2021,CES,42,106,140,41,35,37,66,41,9,12,18,9,49,11,15,33,77,21,80,36,33,35,70,52,21,60,38,22,65,20,29,56,0,0,5,1,0,0,"2,3,6,8,9,11,14,16",,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,WASP,09/13/2021,KVB,10,10,1,1,0,69,1,0,6,3,0,2,1,12,0,0,103,45,2,3,0,12,5,0,30,3,3,14,1,69,0,6,1,1,1,6,11,0,"4,5,7,8,13,14,15",,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,NO WASP,09/13/2021,KVB,133,46,35,178,2,478,11,230,236,290,2,67,265,24,148,28,1,2,0,0,0,5,0,16,2,1,0,1,11,2,2,3,0,0,22,1,0,3,"4,5,11,12",,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,WASP,09/13/2021,KVB,0,254,236,73,2,116,288,171,3,193,165,31,66,26,199,243,0,2,1,0,1,16,7,10,0,1,0,1,4,8,9,1,0,0,32,6,28,0,"1,5,9,12",,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,NO WASP,09/13/2021,KVB,65,54,5,18,101,22,13,26,97,122,143,4,460,0,101,1,2,0,1,1,1,0,0,0,0,7,4,1,4,0,2,0,0,0,56,0,16,3,"3,4,7,8,12,14,16",,,
ISOLATED,9,06/14/2021,WIA-5D,UT3,WASP,09/13/2021,KVB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
ISOLATED,9,06/14/2021,WIA-5D,UT3,NO WASP,09/13/2021,KVB,20,0,27,130,40,54,53,307,11,11,26,248,16,43,43,37,0,0,0,0,1,0,0,1,2,0,0,0,1,6,0,2,0,0,,,,,"2,5,9,10,13,16",,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,WASP,09/13/2021,KVB,1,1,5,0,2,1,1,0,0,0,0,4,1,1,0,2,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,7,1,2,0,0,10,0,8,,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,NO WASP,09/13/2021,KVB,10,0,12,62,92,81,91,7,108,178,190,12,187,163,0,6,2,0,0,1,5,10,9,1,3,2,3,2,9,7,0,0,0,0,21,0,0,0,"2,3,4,8,12,15",,,
DISPERSAL,11,08/23/2021,WIA-5D,UT3,WASP,09/13/2021,KVB,1,8,3,15,5,8,5,0,18,11,6,6,0,18,6,5,1,7,2,17,7,18,11,0,26,16,15,25,0,20,8,5,4,9,2,6,1,0,"1,2,5,6,11,14,15,16",,,
DISPERSAL,11,08/23/2021,WIA-5D,UT3,NO WASP,09/13/2021,KVB,1,221,61,10,1,50,3,22,54,6,9,0,8,189,0,65,0,34,14,2,0,21,3,52,13,21,7,0,3,183,1,68,0,0,2,0,1,3,"1,4,5,7,10,12,13,15",,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,WASP,09/16/2021,CES,13,15,7,31,9,1,76,3,8,4,12,51,0,13,15,4,360,290,36,185,120,200,265,49,97,57,44,120,2,0,112,46,2,0,2,4,15,2,,0,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,NO WASP,09/16/2021,CES,200,230,115,36,210,190,155,230,250,425,31,46,345,97,200,115,7,4,2,0,0,3,0,34,2,4,0,0,19,5,2,0,0,0,33,2,1,2,,0,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,WASP,09/16/2021,CES,120,320,275,165,89,140,105,270,130,310,285,96,250,112,345,410,0,9,11,16,1,19,9,31,0,3,0,7,13,19,15,5,0,0,20,1,7,0,,0,,3 female wasps added
DISPERSAL,8,06/14/2021,WIA-5D,UT3,NO WASP,09/16/2021,CES,160,12,100,89,230,115,77,108,440,430,200,105,555,112,43,62,4,0,0,2,5,0,3,0,23,15,13,9,6,0,0,0,0,0,14,0,10,0,"1,2,15",0,,
ISOLATED,9,06/14/2021,WIA-5D,UT3,NO WASP,09/16/2021,CES,260,21,4,155,110,215,175,180,48,10,250,465,26,145,44,16,2,0,0,6,3,0,0,10,3,0,0,0,18,8,0,0,0,0,0,0,0,0,3,0,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,WASP,09/16/2021,CES,19,2,3,1,9,0,1,9,3,1,0,0,0,1,5,0,17,4,0,0,21,10,0,14,0,1,0,1,0,2,5,5,2,1,0,0,17,0,"2,3,7,9,10,13",0,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,NO WASP,09/16/2021,CES,280,190,315,145,170,120,210,56,450,390,370,150,405,395,145,3,1,9,3,17,2,20,15,0,12,5,6,2,25,32,2,0,0,0,34,1,0,0,16,0,,
DISPERSAL,11,08/23/2021,WIA-5D,UT3,WASP,09/16/2021,CES,3,0,0,4,3,5,2,0,5,4,0,4,2,2,7,0,3,2,0,46,22,6,24,0,4,9,0,0,0,1,5,0,10,8,8,4,1,1,,0,,
DISPERSAL,11,08/23/2021,WIA-5D,UT3,NO WASP,09/16/2021,CES,130,165,220,73,200,240,115,34,120,103,98,110,150,190,54,87,52,47,30,15,115,135,51,96,83,117,34,145,160,210,88,170,0,0,2,2,4,2,,0,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,WASP,09/20/2021,KVB,4,11,16,34,53,0,3,68,3,3,16,16,8,73,16,1,4,94,53,91,68,8,31,145,3,5,37,7,50,195,104,44,0,2,6,6,10,0,12,0,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,NO WASP,09/20/2021,KVB,124,4,366,350,199,233,166,77,1,27,133,259,78,408,1,7,1,0,0,1,3,2,0,3,0,0,1,1,3,4,0,0,0,0,20,1,3,3,"2,8,9,10,15,16",0,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,WASP,09/20/2021,KVB,76,39,5,15,104,27,6,20,113,36,20,122,33,117,3,80,2,4,1,1,4,6,2,3,0,0,0,6,1,14,0,2,0,0,13,0,12,0,"3,4,7,8,11,13,15,16",0,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,NO WASP,09/20/2021,KVB,12,190,156,217,5,173,93,192,40,17,64,75,9,53,309,71,0,5,1,3,1,3,6,0,3,1,0,0,0,5,6,1,0,0,24,1,6,0,"5,9,10,13",,,
ISOLATED,9,06/14/2021,WIA-5D,UT3,NO WASP,09/20/2021,KVB,3,91,158,2,63,25,244,214,179,92,294,68,121,124,144,108,11,2,2,0,1,0,0,1,0,0,0,4,18,0,0,0,0,0,0,0,0,0,"1,4,12",0,,"1 juvenile green on 1, 1 adult green on 8, 18 green on 13"
DISPERSAL,10,06/14/2021,WIA-5D,UT3,WASP,09/20/2021,KVB,9,0,1,4,2,0,0,1,5,0,0,7,0,0,5,2,21,1,1,15,15,0,5,10,4,0,0,1,1,1,5,21,1,2,2,0,20,1,"4,5,6",1,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,NO WASP,09/20/2021,KVB,81,124,133,134,24,288,88,30,5,0,2,78,204,10,319,43,3,22,1,6,1,9,1,2,1,0,0,1,1,0,17,3,0,0,40,3,1,0,"5,9,10,11,14",0,,
DISPERSAL,11,08/23/2021,WIA-5D,UT3,WASP,09/20/2021,KVB,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,14,1,8,8,1,0,2,2,0,0,1,0,3,1,7,22,5,0,2,13,4,,22,,
DISPERSAL,11,08/23/2021,WIA-5D,UT3,NO WASP,09/20/2021,KVB,119,3,63,89,259,20,146,127,41,322,187,102,70,0,80,60,133,1,8,14,65,5,36,32,24,62,44,43,41,2,80,99,0,0,29,9,0,1,"2,3,6,14",0,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,WASP,09/23/2021,CES,3,7,35,17,7,0,9,18,0,19,20,8,7,33,4,18,11,22,124,51,58,0,50,118,3,25,47,22,112,97,47,91,1,1,6,8,8,0,"1,2,5,7,9,15",0,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,WASP,09/27/2021,NE,0,0,4,1,16,6,0,2,18,20,5,7,8,5,2,4,13,5,58,5,52,20,1,12,36,57,20,35,32,6,17,19,3,0,8,9,16,0,"4,6,11,14",2,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,WASP,09/30/2021,CES,0,1,10,8,6,0,0,0,3,17,3,6,1,24,1,0,2,1,73,34,87,0,8,0,38,88,15,41,12,46,7,14,1,0,6,1,20,0,"8,13",0,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,WASP,10/04/2021,NE,5,13,5,34,24,1,7,5,10,14,15,4,1,37,5,4,6,7,0,88,308,8,22,7,49,57,73,13,6,245,43,11,2,0,5,11,22,0,"3,10",2,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,NO WASP,09/23/2021,CES,5,114,58,370,87,16,189,210,66,130,290,112,12,39,240,53,0,2,0,5,2,0,0,6,0,4,3,6,1,0,15,0,0,0,16,1,2,5,"1,6,13",0,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,NO WASP,09/27/2021,NE,184,420,7,25,7,118,319,162,449,346,22,30,147,13,59,281,0,7,0,0,0,6,1,17,11,5,2,4,5,2,6,5,0,0,38,0,4,4,"3,5,12,14",0,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,NO WASP,09/30/2021,CES,315,400,23,0,350,275,63,26,390,43,0,119,370,410,11,295,4,9,0,0,7,6,0,0,12,2,0,1,7,11,0,6,0,0,40,1,3,1,"4,8,11,15",0,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,NO WASP,10/04/2021,CES,175,71,96,650,570,610,0,130,155,4,380,410,43,400,29,155,1,1,2,4,12,15,0,0,6,0,1,3,2,12,0,9,0,0,45,1,2,5,"2,7,9,10,13",0,,
DISPERSAL,11,08/23/2021,WIA-5D,UT3,WASP,09/23/2021,CES,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,7,6,1,9,12,5,0,5,0,3,7,2,0,2,7,12,10,5,1,5,11,0,,0,,
DISPERSAL,11,08/23/2021,WIA-5D,UT3,WASP,09/27/2021,LAN,6,2,0,2,8,1,0,0,0,0,2,2,1,0,0,2,18,8,4,17,26,8,5,9,0,0,10,0,15,10,8,21,6,1,1,0,23,11,9,6,,
DISPERSAL,11,08/23/2021,WIA-5D,UT3,WASP,09/30/2021,CES,5,0,0,1,2,0,0,3,1,0,1,2,1,0,0,0,15,7,5,7,23,4,1,6,5,0,6,0,7,6,3,16,4,4,5,2,16,3,,0,,
DISPERSAL,11,08/23/2021,WIA-5D,UT3,WASP,10/04/2021,NE,0,1,0,0,1,1,0,3,1,0,2,0,0,1,0,1,13,4,17,6,11,7,7,11,4,5,14,9,13,7,3,9,3,0,1,1,18,2,,3,,alates were not input to this cage; forgotten on top of cage
DISPERSAL,11,08/23/2021,WIA-5D,UT3,NO WASP,09/23/2021,CES,3,74,189,9,41,9,34,21,0,20,162,14,66,131,15,6,1,64,33,3,37,0,53,2,1,28,89,21,53,157,4,11,0,0,19,2,0,3,"1,4,5,9,12,13,15,16",0,,
DISPERSAL,11,08/23/2021,WIA-5D,UT3,NO WASP,09/27/2021,NE,147,166,178,163,247,51,6,3,208,2,7,24,15,196,20,79,44,83,94,65,60,5,0,1,53,1,0,7,1,62,5,28,0,0,46,22,0,0,"7,8,10",0,,
DISPERSAL,11,08/23/2021,WIA-5D,UT3,NO WASP,09/30/2021,CES,110,180,89,260,270,113,295,36,280,93,1,195,190,31,35,120,50,98,107,93,81,12,77,4,57,110,0,42,45,17,25,82,0,0,34,5,2,1,11,0,,
DISPERSAL,11,08/23/2021,WIA-5D,UT3,NO WASP,10/04/2021,CES,2,7,3,230,100,215,200,190,285,210,300,220,240,22,260,165,15,2,5,160,140,36,175,43,68,250,22,53,115,13,100,150,0,0,37,4,0,0,"1,2,3,14",0,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,WASP,09/23/2021,CES,130,0,440,285,89,108,67,56,17,0,260,140,93,230,54,78,4,0,31,5,2,15,32,0,0,0,6,5,7,18,0,2,0,0,8,1,6,0,2,0,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,WASP,09/27/2021,LAN,10,272,600,880,18,80,380,370,25,5,220,40,480,203,400,280,8,39,0,30,4,7,18,16,0,0,14,2,1,14,10,13,0,8,47,0,27,0,"1,5,9,10",0,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,WASP,09/30/2021,CES,440,530,380,430,470,3,83,410,190,58,110,22,420,380,490,140,21,68,6,18,33,0,11,25,8,0,6,1,1,16,29,8,0,5,42,0,16,0,6,0,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,WASP,10/04/2021,NE,81,146,59,71,24,27,64,81,45,12,10,12,47,55,95,12,4,10,4,12,3,5,6,17,3,4,3,2,5,9,34,2,11,8,54,1,16,0,"3,7,11,12,16",11,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,NO WASP,09/23/2021,CES,124,415,23,47,28,12,116,340,440,31,47,33,280,145,170,42,1,7,0,3,4,0,12,5,4,0,0,0,22,7,15,0,0,0,11,0,3,1,"3,4,6,12",0,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,NO WASP,09/27/2021,NE,129,137,65,156,136,48,137,154,14,187,16,281,31,21,18,2,2,8,18,10,16,3,13,8,0,10,1,24,20,0,0,0,0,0,54,0,24,0,"7,15",0,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,NO WASP,09/30/2021,CES,210,21,430,385,190,260,290,0,420,310,5,210,22,3,405,0,2,0,20,10,0,7,14,0,0,12,1,27,0,0,4,0,0,0,31,1,21,0,"2,8,11,13,14,16",0,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,NO WASP,10/04/2021,CES,215,510,42,460,145,220,370,590,0,320,480,46,105,87,105,145,0,1,6,12,0,10,4,17,0,14,2,0,1,2,0,6,0,0,32,0,21,0,"3,9,12,15",0,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,WASP,09/23/2021,CES,1,2,9,2,1,0,0,0,4,3,0,4,4,0,2,1,12,2,4,1,1,1,3,1,2,0,0,3,3,0,3,2,6,3,4,2,8,1,,0,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,WASP,09/27/2021,LAN,2,1,15,8,8,3,2,1,1,0,1,12,8,0,0,7,6,10,58,21,34,4,1,4,0,0,0,12,23,1,1,11,18,0,3,11,18,0,14,18,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,WASP,09/30/2021,CES,5,0,3,9,9,7,2,2,1,0,1,3,11,5,0,13,0,6,89,36,121,15,2,24,1,0,0,27,19,0,0,29,6,0,3,0,12,0,,0,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,WASP,10/04/2021,NE,0,6,9,8,11,11,3,4,7,7,4,18,10,13,2,22,0,42,92,31,809,201,25,46,19,7,14,59,26,35,3,36,9,1,3,4,14,0,"1,12,16",9,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,NO WASP,09/23/2021,CES,34,29,173,88,310,112,24,240,390,53,340,41,9,28,290,420,2,1,5,3,11,18,0,0,17,4,2,0,0,1,10,6,0,0,16,2,2,1,"1,2,4,7,13,15",0,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,NO WASP,09/27/2021,NE,73,330,6,107,12,5,325,29,39,410,314,9,88,121,94,232,0,8,0,7,4,0,17,1,0,6,3,0,0,1,6,1,0,0,37,0,6,1,"3,6",0,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,NO WASP,09/30/2021,CES,145,117,470,135,11,160,170,2,0,450,145,6,160,185,130,12,4,3,7,11,0,2,13,1,0,12,3,0,1,1,10,0,0,0,23,1,1,0,"5,8,9,12,16",0,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,NO WASP,10/04/2021,CES,310,3,395,205,430,380,86,100,660,37,7,28,230,235,215,34,5,0,6,4,3,26,3,0,13,2,0,0,2,11,16,0,0,0,29,1,1,2,"2,7,10,11",0,,
ISOLATED,9,06/14/2021,WIA-5D,UT3,NO WASP,09/23/2021,CES,10,187,219,230,127,4,180,39,430,385,21,450,150,19,220,245,0,0,2,1,10,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,"6,8,11,14",0,,"1 adult green on 12, 3 adults and juveniles on 13"
ISOLATED,9,06/14/2021,WIA-5D,UT3,NO WASP,09/27/2021,NE,201,43,34,144,13,134,108,352,33,366,231,174,12,370,422,74,1,0,0,1,2,1,1,0,0,1,3,0,0,5,1,0,0,0,0,0,0,0,"2,5,9,13",0,,no UT3 confirmed
ISOLATED,9,06/14/2021,WIA-5D,UT3,NO WASP,09/30/2021,CES,280,92,4,12,51,210,5,510,62,150,265,14,23,420,51,4,0,0,0,0,0,1,0,2,0,4,3,0,1,0,0,0,0,0,0,0,0,0,"3,4,7,12,15,16",0,,UT3 confirmed: 1 adult on 6
