treatment,rep,start_date,red_line,green_line,cage,date,observer,plant1_red,plant2_red,plant3_red,plant4_red,plant5_red,plant6_red,plant7_red,plant8_red,plant9_red,plant10_red,plant11_red,plant12_red,plant13_red,plant14_red,plant15_red,plant16_red,plant1_green,plant2_green,plant3_green,plant4_green,plant5_green,plant6_green,plant7_green,plant8_green,plant9_green,plant10_green,plant11_green,plant12_green,plant13_green,plant14_green,plant15_green,plant16_green,wasps,mummies,alates_total_red,alates_total_green,alates_in_red,alates_in_green,replaced_plants,wasps_rm,mumm_rm,notes
DISPERSAL,8,06/14/2021,WIA-5D,UT3,NO WASP,07/29/2021,CES,240,52,56,95,80,290,103,320,41,0,5,29,93,1,0,20,21,8,10,26,76,85,80,115,4,0,0,7,13,0,0,4,0,0,0,0,0,0,,,,
ISOLATED,9,06/14/2021,WIA-5D,UT3,WASP,07/29/2021,CES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,1,,
ISOLATED,9,06/14/2021,WIA-5D,UT3,NO WASP,07/29/2021,CES,46,51,248,260,62,32,250,37,105,135,120,12,52,240,220,7,12,6,17,3,8,6,4,3,3,22,16,5,2,32,45,1,0,0,,,,,,,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,WASP,07/29/2021,CES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,,3,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,NO WASP,07/29/2021,CES,45,26,0,16,53,34,2,0,0,78,5,0,17,0,15,37,4,9,0,7,1,19,2,0,0,6,0,0,10,0,5,8,0,0,0,0,0,0,,,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,WASP,08/02/2021,KVB,1,0,1,1,2,1,1,16,1,0,0,2,0,4,0,0,10,0,1,10,16,7,13,76,2,3,0,45,14,20,8,1,2,2,0,0,0,0,,,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,NO WASP,08/02/2021,KVB,0,1,332,11,226,115,22,179,222,22,0,109,0,37,134,5,0,0,18,2,16,7,7,18,44,4,0,8,0,7,13,0,0,0,0,0,0,0,"1,4,11,13,16",0,,"plants 2,10 dead not replaced"
DISPERSAL,7,06/14/2021,WIA-5D,UT3,WASP,08/02/2021,KVB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,,
DISPERSAL,7,06/14/2021,WIA-5D,UT3,NO WASP,08/02/2021,KVB,2,0,0,0,1,4,0,1,0,0,2,0,0,2,1,0,2,0,7,0,26,10,0,9,2,1,9,2,5,1,7,45,3,0,0,0,0,0,,3,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,WASP,08/02/2021,KVB,1,1,16,0,15,0,0,3,4,0,1,0,0,0,2,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,NO WASP,08/02/2021,KVB,57,246,141,122,54,255,209,0,70,2,0,197,280,5,74,151,5,18,9,3,7,24,56,0,2,0,0,28,18,0,12,27,0,0,0,0,0,0,,,,
ISOLATED,9,06/14/2021,WIA-5D,UT3,WASP,08/02/2021,KVB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
ISOLATED,9,06/14/2021,WIA-5D,UT3,NO WASP,08/02/2021,KVB,270,69,2,53,0,0,98,210,666,3,365,0,212,49,3,2,21,20,1,5,0,0,6,27,7,0,14,1,9,16,3,1,0,0,,,,,"5,6,12,15,16",,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,WASP,08/02/2021,KVB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,,,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,NO WASP,08/02/2021,KVB,127,0,22,89,227,141,5,0,0,0,10,0,97,0,97,205,7,0,8,9,16,6,1,0,0,0,1,0,23,0,19,18,0,0,2,0,0,0,"2,8,9,12,14",,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,WASP,08/05/2021,CES,6,0,4,0,4,5,1,12,5,0,0,1,2,0,0,0,62,3,3,10,41,54,40,120,9,4,0,62,57,65,22,1,0,1,0,0,1,1,,,,
DISPERSAL,6,06/14/2021,WIA-5D,UT3,NO WASP,08/05/2021,CES,160,0,93,210,110,255,155,117,395,0,180,88,22,135,160,145,11,0,8,3,0,8,6,13,92,0,17,5,0,39,43,20,0,0,3,1,1,1,,,,
DISPERSAL,7,06/14/2021,WIA-5D,UT3,WASP,08/05/2021,CES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
DISPERSAL,7,06/14/2021,WIA-5D,UT3,NO WASP,08/05/2021,CES,4,0,0,0,2,1,0,0,0,1,5,0,0,0,0,2,11,2,0,0,46,13,3,9,1,9,32,14,3,9,33,51,0,3,0,0,0,0,,,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,WASP,08/05/2021,CES,9,0,32,2,47,0,0,5,10,0,4,0,1,0,14,0,0,0,0,8,3,0,0,0,2,5,6,0,0,0,0,0,0,4,0,0,0,0,,,,
DISPERSAL,8,06/14/2021,WIA-5D,UT3,NO WASP,08/05/2021,CES,114,135,176,7,8,145,97,0,52,155,130,150,27,160,170,270,7,17,15,0,1,42,36,0,0,8,29,40,13,5,14,22,0,0,0,0,0,0,,,,
ISOLATED,9,06/14/2021,WIA-5D,UT3,WASP,08/05/2021,CES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
ISOLATED,9,06/14/2021,WIA-5D,UT3,NO WASP,08/05/2021,CES,90,21,0,0,4,270,72,110,47,0,38,210,46,0,50,113,18,0,0,0,0,18,1,3,0,0,9,3,5,0,1,7,0,0,,,,,,1,,
DISPERSAL,10,06/14/2021,WIA-5D,UT3,WASP,08/05/2021,CES,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,,,,
