rep,date,time,mummies,adult females,adult males,adults unk.,notes
8,7-Jan-22,,0,0,0,0,
10,7-Jan-22,,0,1,3,0,
11,7-Jan-22,,0,0,0,0,
8,9-Jan-22,,1,0,0,0,
10,9-Jan-22,,1,1,2,0,
11,9-Jan-22,,1,1,2,0,
8,10-Jan-22,,0,0,0,0,
10,10-Jan-22,,0,0,0,4,
11,10-Jan-22,,3,0,0,4,
8,12-Jan-22,,0,0,0,0,
10,12-Jan-22,,0,0,0,0,
11,12-Jan-22,,0,4,2,0,
8,13-Jan-22,,0,0,0,0,
10,13-Jan-22,,2,0,0,0,
11,13-Jan-22,,0,3,0,0,
8,14-Jan-22,,0,0,0,0,
10,14-Jan-22,,1,0,0,0,
11,14-Jan-22,,0,4,0,0,
8,15-Jan-22,,0,2,1,0,
10,15-Jan-22,,3,0,0,0,
11,15-Jan-22,,0,2,0,0,
8,17-Jan-22,,0,0,0,1,
10,17-Jan-22,,0,0,0,0,
11,17-Jan-22,,0,0,0,0,
8,18-Jan-22,,0,1,1,0,
10,18-Jan-22,,0,0,2,0,
11,18-Jan-22,,0,0,0,0,
8,19-Jan-22,,0,0,0,1,
10,19-Jan-22,,17,0,0,7,
11,19-Jan-22,,0,0,0,0,
8,20-Jan-22,,0,0,0,1,
10,20-Jan-22,,0,0,0,0,
11,20-Jan-22,,0,0,0,0,
8,21-Jan-22,,0,0,0,0,
10,21-Jan-22,,4,1,12,0,
11,21-Jan-22,,0,0,0,0,
8,22-Jan-22,,0,0,0,1,
10,22-Jan-22,,4,0,0,4,
11,22-Jan-22,,24,0,0,0,
8,23-Jan-22,,0,0,0,0,
10,23-Jan-22,,0,0,8,0,
11,23-Jan-22,,4,0,0,0,
8,24-Jan-22,,0,0,0,0,
10,24-Jan-22,,0,2,1,0,
11,24-Jan-22,,0,0,1,0,
12,24-Jan-22,,0,0,0,1,
8,25-Jan-22,,1,0,0,0,
10,25-Jan-22,,0,0,2,0,
11,25-Jan-22,,6,0,0,0,
12,25-Jan-22,,0,0,0,0,
8,26-Jan-22,,6,0,0,0,
10,26-Jan-22,,1,0,0,1,
11,26-Jan-22,,2,0,0,0,
12,26-Jan-22,,108,0,0,0,
6,27-Jan-22,,3,0,0,0,
8,27-Jan-22,,4,0,0,0,
10,27-Jan-22,,0,0,0,0,
11,27-Jan-22,,2,0,0,0,
12,27-Jan-22,,10,0,0,0,
6,28-Jan-22,,1,0,0,0,
8,28-Jan-22,,5,0,0,1,
10,28-Jan-22,,0,0,0,0,
11,28-Jan-22,,0,0,0,1,
12,28-Jan-22,,23,0,0,0,
6,29-Jan-22,,0,0,0,0,
8,29-Jan-22,,28,0,0,0,
10,29-Jan-22,,1,0,0,0,
11,29-Jan-22,,12,0,0,4,
12,29-Jan-22,,0,0,0,0,
6,30-Jan-22,,0,0,0,0,
8,30-Jan-22,,27,0,0,0,
10,30-Jan-22,,0,0,0,0,
11,30-Jan-22,,0,3,11,0,
12,30-Jan-22,,0,0,0,0,
6,31-Jan-22,,0,0,0,0,
8,31-Jan-22,,14,0,0,3,
10,31-Jan-22,,4,0,0,0,
11,31-Jan-22,,4,0,0,0,
12,31-Jan-22,,2,0,0,0,
6,1-Feb-22,,0,0,0,0,
8,1-Feb-22,,16,0,0,9,
10,1-Feb-22,,0,0,0,1,
11,1-Feb-22,,0,0,0,1,
12,1-Feb-22,,0,0,0,0,
6,2-Feb-22,,0,0,0,0,
8,2-Feb-22,,3,0,0,6,
10,2-Feb-22,,0,0,0,0,
11,2-Feb-22,,0,0,0,1,
12,2-Feb-22,,0,0,0,0,
6,3-Feb-22,,0,0,0,0,
8,3-Feb-22,,0,0,0,0,
10,3-Feb-22,,0,0,0,0,
11,3-Feb-22,,0,0,0,0,
12,3-Feb-22,,0,0,0,0,
6,4-Feb-22,,0,0,0,0,
8,4-Feb-22,,5,0,0,21,
10,4-Feb-22,,0,0,0,0,
11,4-Feb-22,,0,0,0,0,
12,4-Feb-22,,0,0,0,0,
6,5-Feb-22,,0,0,0,0,
8,5-Feb-22,,37,0,0,21,
10,5-Feb-22,,3,0,0,6,
11,5-Feb-22,,0,0,0,1,
12,5-Feb-22,,10,0,0,1,
6,6-Feb-22,,0,0,0,0,
8,6-Feb-22,,1,0,0,20,
10,6-Feb-22,,1,0,0,10,
11,6-Feb-22,,0,0,0,0,
12,6-Feb-22,,1,0,0,1,
6,7-Feb-22,,0,0,0,0,
8,7-Feb-22,,3,0,0,11,
10,7-Feb-22,,0,0,0,4,
11,7-Feb-22,,0,0,0,0,
12,7-Feb-22,,2,0,0,1,
6,8-Feb-22,,0,0,0,0,
8,8-Feb-22,,0,0,0,17,
10,8-Feb-22,,1,0,0,11,
11,8-Feb-22,,0,0,0,1,
12,8-Feb-22,,0,0,0,1,
6,9-Feb-22,,0,0,0,0,
8,9-Feb-22,,2,0,0,5,
10,9-Feb-22,,2,0,0,3,
11,9-Feb-22,,0,0,0,0,
12,9-Feb-22,,0,0,0,2,
6,10-Feb-22,,0,0,0,0,
8,10-Feb-22,,2,0,0,4,
10,10-Feb-22,,1,0,0,4,
11,10-Feb-22,,0,0,0,0,
12,10-Feb-22,,0,0,0,0,
6,11-Feb-22,,0,0,0,0,
8,11-Feb-22,,1,0,0,5,
10,11-Feb-22,,0,0,0,1,
11,11-Feb-22,,0,0,0,0,
12,11-Feb-22,,0,0,0,0,
6,12-Feb-22,,0,0,0,0,
8,12-Feb-22,,0,0,0,1,
10,12-Feb-22,,2,0,0,8,
11,12-Feb-22,,0,0,0,4,
12,12-Feb-22,,0,0,0,1,
6,13-Feb-22,,0,0,0,0,
8,13-Feb-22,,1,0,0,2,
10,13-Feb-22,,3,0,0,10,
11,13-Feb-22,,0,0,0,1,
12,13-Feb-22,,0,0,0,0,
6,14-Feb-22,,0,0,0,0,
8,14-Feb-22,,3,0,0,1,
10,14-Feb-22,,3,0,0,4,
11,14-Feb-22,,0,0,0,0,
12,14-Feb-22,,0,0,0,0,
6,15-Feb-22,,0,0,0,0,
8,15-Feb-22,,7,0,0,0,
10,15-Feb-22,,0,0,0,1,
11,15-Feb-22,,0,0,0,1,
12,15-Feb-22,,0,0,0,0,
6,16-Feb-22,,0,0,0,0,
8,16-Feb-22,,8,0,0,1,
10,16-Feb-22,,3,0,0,2,
11,16-Feb-22,,0,0,0,0,
12,16-Feb-22,,0,0,0,0,
6,17-Feb-22,,0,0,0,0,
8,17-Feb-22,,0,0,0,0,
10,17-Feb-22,,0,0,0,0,
11,17-Feb-22,,0,0,0,0,
12,17-Feb-22,,0,0,0,0,
6,18-Feb-22,,0,0,0,0,
8,18-Feb-22,,3,0,0,2,
10,18-Feb-22,,0,0,0,2,
11,18-Feb-22,,0,0,0,1,
12,18-Feb-22,,0,0,0,0,
6,19-Feb-22,,0,0,0,0,
11,19-Feb-22,,0,0,0,1,
12,19-Feb-22,,0,0,0,0,
13,19-Feb-22,,0,0,0,0,
11,20-Feb-22,,0,0,0,0,
12,20-Feb-22,,0,0,0,0,
13,20-Feb-22,,0,0,0,0,
11,21-Feb-22,,2,0,0,7,
12,21-Feb-22,,0,0,0,0,
13,21-Feb-22,,0,0,0,0,
11,22-Feb-22,,2,0,4,0,
12,22-Feb-22,,0,0,0,0,
13,22-Feb-22,,0,0,0,0,
11,23-Feb-22,,11,0,0,3,
12,23-Feb-22,,0,0,0,0,
13,23-Feb-22,,0,0,0,0,
11,24-Feb-22,,4,0,0,2,
12,24-Feb-22,,1,0,0,0,
13,24-Feb-22,,0,0,0,0,
11,25-Feb-22,,0,0,0,1,
12,25-Feb-22,,0,0,0,0,
13,25-Feb-22,,0,0,0,0,
11,26-Feb-22,,3,0,0,0,
12,26-Feb-22,,0,0,0,0,
13,26-Feb-22,,0,0,0,0,
11,27-Feb-22,,5,0,0,2,
12,27-Feb-22,,0,0,0,0,
13,27-Feb-22,,0,0,0,0,
11,28-Feb-22,,2,0,0,1,
12,28-Feb-22,,0,0,0,0,
13,28-Feb-22,,0,0,0,0,
11,1-Mar-22,,10,0,0,1,
12,1-Mar-22,,0,0,0,0,
13,1-Mar-22,,0,0,0,0,
11,2-Mar-22,,3,0,0,0,
12,2-Mar-22,,0,0,0,0,
13,2-Mar-22,,0,0,0,0,
11,3-Mar-22,,0,0,0,2,
12,3-Mar-22,,0,0,0,0,
13,3-Mar-22,,0,0,0,0,
11,4-Mar-22,,0,0,0,1,
12,4-Mar-22,,0,0,0,0,
13,4-Mar-22,,0,0,0,0,
11,5-Mar-22,,0,0,0,2,
12,5-Mar-22,,0,0,0,0,
13,5-Mar-22,,0,0,0,0,
11,6-Mar-22,,1,0,0,2,
12,6-Mar-22,,0,0,0,0,
13,6-Mar-22,,0,0,0,0,
11,7-Mar-22,,1,0,0,4,
12,7-Mar-22,,0,0,0,0,
13,7-Mar-22,,0,0,0,0,
11,8-Mar-22,,2,0,0,1,
12,8-Mar-22,,0,0,0,0,
13,8-Mar-22,,0,0,0,0,
11,9-Mar-22,,1,0,0,3,
12,9-Mar-22,,0,0,0,0,
13,9-Mar-22,,0,0,0,0,
11,10-Mar-22,,0,0,0,2,
12,10-Mar-22,,0,0,0,0,
13,10-Mar-22,,0,0,0,0,
11,11-Mar-22,,0,0,0,0,
12,11-Mar-22,,0,0,0,0,
13,11-Mar-22,,0,0,0,0,
11,12-Mar-22,,2,0,0,0,
12,12-Mar-22,,0,0,0,0,
13,12-Mar-22,,0,0,0,0,
11,13-Mar-22,,0,1,0,0,
12,13-Mar-22,,0,0,0,0,
13,13-Mar-22,,0,0,0,0,
11,14-Mar-22,,0,0,0,5,
12,14-Mar-22,,0,0,0,0,
13,14-Mar-22,,0,0,0,0,
11,15-Mar-22,,0,0,0,1,
12,15-Mar-22,,0,0,0,0,
13,15-Mar-22,,0,0,0,0,
11,16-Mar-22,,,,,,checked but didn't write down numbers
12,16-Mar-22,,,,,,checked but didn't write down numbers
13,16-Mar-22,,,,,,checked but didn't write down numbers
11,17-Mar-22,,6,0,0,0,
12,17-Mar-22,,0,0,0,0,
13,17-Mar-22,,0,0,0,0,
11,18-Mar-22,,0,0,0,3,
12,18-Mar-22,,0,0,0,0,
13,18-Mar-22,,0,0,0,0,
11,19-Mar-22,,0,0,0,1,
12,19-Mar-22,,0,0,0,0,
13,19-Mar-22,,0,0,0,0,
11,20-Mar-22,,1,0,0,0,
12,20-Mar-22,,0,0,0,0,
13,20-Mar-22,,0,0,0,0,
11,21-Mar-22,,1,0,0,1,
12,21-Mar-22,,0,0,0,0,
13,21-Mar-22,,0,0,0,0,
11,22-Mar-22,,,,,,checked but didn't write down numbers
12,22-Mar-22,,,,,,checked but didn't write down numbers
13,22-Mar-22,,,,,,checked but didn't write down numbers
11,23-Mar-22,,0,0,0,1,
12,23-Mar-22,,0,0,0,0,
13,23-Mar-22,,0,0,0,0,
11,24-Mar-22,,0,0,0,0,
12,24-Mar-22,,0,0,0,0,
13,24-Mar-22,,0,0,0,0,
11,25-Mar-22,,0,0,0,0,
12,25-Mar-22,,0,0,0,0,
13,25-Mar-22,,0,0,0,0,
11,26-Mar-22,,0,0,0,0,
12,26-Mar-22,,0,0,0,0,
13,26-Mar-22,,0,0,0,0,
11,27-Mar-22,,0,0,0,0,
12,27-Mar-22,,0,0,0,0,
13,27-Mar-22,,0,0,0,0,
11,28-Mar-22,,0,0,0,0,
12,28-Mar-22,,1,0,0,0,
13,28-Mar-22,,0,0,0,0,
11,29-Mar-22,,0,0,0,3,
12,29-Mar-22,,0,0,0,0,
13,29-Mar-22,,0,0,0,0,
11,30-Mar-22,,1,0,0,0,
12,30-Mar-22,,0,0,0,0,
13,30-Mar-22,,0,0,0,0,
11,31-Mar-22,,0,0,0,0,
12,31-Mar-22,,0,0,0,0,
13,31-Mar-22,,0,0,0,0,
11,1-Apr-22,,1,0,0,0,
12,1-Apr-22,,0,0,0,0,
13,1-Apr-22,,0,0,0,0,
11,2-Apr-22,,1,0,0,0,
12,2-Apr-22,,0,0,0,0,
13,2-Apr-22,,0,0,0,0,
11,3-Apr-22,,0,0,0,0,
12,3-Apr-22,,0,0,0,0,
13,3-Apr-22,,0,0,0,0,
11,4-Apr-22,,3,0,0,0,
12,4-Apr-22,,0,0,0,0,
13,4-Apr-22,,0,0,0,0,
11,5-Apr-22,,1,0,0,1,
12,5-Apr-22,,0,0,0,0,
13,5-Apr-22,,0,0,0,0,
11,6-Apr-22,,0,0,0,0,
12,6-Apr-22,,0,0,0,0,
13,6-Apr-22,,0,0,0,0,
11,7-Apr-22,,2,0,0,0,
12,7-Apr-22,,0,0,0,0,
13,7-Apr-22,,0,0,0,0,
11,8-Apr-22,,0,0,0,0,
12,8-Apr-22,,0,0,0,0,
13,8-Apr-22,,0,0,0,0,
11,9-Apr-22,,0,0,0,0,
12,9-Apr-22,,0,0,0,0,
13,9-Apr-22,,0,0,0,0,
11,10-Apr-22,,0,0,0,0,
12,10-Apr-22,,0,0,0,0,
13,10-Apr-22,,0,0,0,0,
11,11-Apr-22,,3,0,0,1,
12,11-Apr-22,,0,0,0,0,
13,11-Apr-22,,1,0,0,0,
11,12-Apr-22,,0,0,0,4,
12,12-Apr-22,,0,0,0,0,
13,12-Apr-22,,0,0,0,0,
11,13-Apr-22,,3,0,0,1,
12,13-Apr-22,,0,0,0,0,
13,13-Apr-22,,0,0,0,0,
11,14-Apr-22,,0,0,0,0,
12,14-Apr-22,,0,0,0,0,
13,14-Apr-22,,0,0,0,0,
11,15-Apr-22,,0,0,0,2,
12,15-Apr-22,,0,0,0,0,
13,15-Apr-22,,0,0,0,0,
11,16-Apr-22,,0,0,0,2,
12,16-Apr-22,,0,0,0,0,
13,16-Apr-22,,0,0,0,0,
11,17-Apr-22,,1,0,0,1,
12,17-Apr-22,,0,0,0,0,
13,17-Apr-22,,1,0,0,0,
11,18-Apr-22,,0,0,0,0,
12,18-Apr-22,,0,0,0,0,
13,18-Apr-22,,0,0,0,0,
11,19-Apr-22,,0,0,0,1,
12,19-Apr-22,,0,0,0,0,
13,19-Apr-22,,0,0,0,0,
11,20-Apr-22,,0,0,0,0,
12,20-Apr-22,,0,0,0,0,
13,20-Apr-22,,0,0,0,0,
11,21-Apr-22,,0,0,0,0,
12,21-Apr-22,,0,0,0,0,
13,21-Apr-22,,0,0,0,0,
11,22-Apr-22,,1,0,0,0,
12,22-Apr-22,,0,0,0,0,
13,22-Apr-22,,0,0,0,0,
11,23-Apr-22,,1,0,0,1,
12,23-Apr-22,,0,0,0,0,
13,23-Apr-22,,0,0,0,0,
11,24-Apr-22,,0,0,0,1,
12,24-Apr-22,,0,0,0,0,
13,24-Apr-22,,0,0,0,0,
11,25-Apr-22,,1,0,0,0,
12,25-Apr-22,,0,0,0,0,
13,25-Apr-22,,0,0,0,0,
11,26-Apr-22,,0,0,0,0,
12,26-Apr-22,,0,0,0,0,
13,26-Apr-22,,0,0,0,0,
11,27-Apr-22,,0,0,0,0,
12,27-Apr-22,,0,0,0,0,
13,27-Apr-22,,0,0,0,0,
11,28-Apr-22,,0,0,0,0,
12,28-Apr-22,,0,0,0,0,
13,28-Apr-22,,0,0,0,0,
